ms,GPStime,lat,lon,yaw,pitch,roll
9600,234501.00,40.09513855,-88.23947144,45.961834,2.755725,-3.419847
9700,234501.00,40.09514618,-88.23954773,46.015266,2.404580,-1.503817
9800,234501.00,40.09514618,-88.23954773,45.832062,0.923664,-1.442748
9900,234501.00,40.09514618,-88.23954773,44.412212,3.259542,-2.389313
10000,234501.00,40.09514618,-88.23954773,41.030533,3.816794,-1.396947
10100,234501.00,40.09514618,-88.23954773,36.709923,2.931298,3.862595
10200,234501.00,40.09514618,-88.23954773,32.167938,2.923664,3.908397
10300,234501.00,40.09514618,-88.23954773,25.549618,0.129771,-2.129771
10400,234501.00,40.09514618,-88.23954773,20.748091,1.198473,2.786260
10500,234501.00,40.09514618,-88.23954773,14.267176,0.282443,3.496183
10600,234502.00,40.09514618,-88.23954773,8.374045,2.358779,1.801527
10700,234502.00,40.09513092,-88.23963165,3.404580,1.381679,0.442748
10800,234502.00,40.09513092,-88.23963165,-2.442748,1.152672,1.419847
10900,234502.00,40.09513092,-88.23963165,-6.755725,1.496183,3.839695
11000,234502.00,40.09513092,-88.23963165,-11.022901,-1.419847,0.694656
11100,234502.00,40.09513092,-88.23963165,-13.702291,-0.480916,-0.152672
11200,234502.00,40.09513092,-88.23963165,-15.862596,0.938931,0.870229
11300,234502.00,40.09513092,-88.23963165,-16.641222,1.320611,1.473282
11400,234502.00,40.09513092,-88.23963165,-17.984734,1.229008,-0.175573
11500,234503.00,40.09513092,-88.23963165,-17.923664,-2.137405,0.946565
11600,234503.00,40.09513092,-88.23963165,-18.167938,-1.763359,0.549618
11700,234503.00,40.09511185,-88.23973083,-18.114504,0.160305,0.923664
11800,234503.00,40.09511185,-88.23973083,-18.854961,-2.526718,-1.664122
11900,234503.00,40.09511185,-88.23973083,-18.870230,-0.984733,0.030534
12000,234503.00,40.09511185,-88.23973083,-17.931297,0.198473,1.419847
12100,234503.00,40.09511185,-88.23973083,-16.175573,-0.839695,-1.305344
12200,234503.00,40.09511185,-88.23973083,-13.374045,-0.290076,-2.809160
12300,234503.00,40.09511185,-88.23973083,-9.427481,-0.694656,-2.427481
12400,234503.00,40.09511185,-88.23973083,-4.450382,1.755725,-1.274809
12500,234504.00,40.09511185,-88.23973083,0.435115,0.137405,-1.450382
12600,234504.00,40.09511566,-88.23981476,4.229008,1.435115,-0.648855
12700,234504.00,40.09511566,-88.23981476,6.213740,0.358779,-1.618321
12800,234504.00,40.09511566,-88.23981476,9.839695,-1.221374,-5.122138
12900,234504.00,40.09511566,-88.23981476,12.946565,-0.022901,-1.007634
13000,234504.00,40.09511566,-88.23981476,16.312977,-1.282443,-1.312977
13100,234504.00,40.09511566,-88.23981476,18.946566,1.786260,-2.709924
13200,234504.00,40.09511566,-88.23981476,22.061069,2.320611,-1.083969
13300,234504.00,40.09511566,-88.23981476,23.618320,3.465649,-2.595420
13400,234504.00,40.09511566,-88.23981476,25.893129,1.923664,-1.396947
