ms,lon,lat,yaw,pitch,roll
29600,-88.240832630794,40.096370568996846,5.923664,-18.946566,-23.160305
29700,-88.2408268280607,40.0963746196061,-1.740458,-5.114504,-36.740459
29800,-88.24082099339515,40.09637840600965,-12.030535,-17.236641,-42.503819
29900,-88.240809896204,40.096387131252655,-14.893129,-40.236641,-48.725189
30000,-88.2408046336784,40.0963920700921,-18.992367,-39.877861,-29.648855
30100,-88.24079874416509,40.09639671523115,-14.969465,0.572519,-8.656488
30200,-88.2407928546518,40.0964013603702,-16.633587,1.587786,-26.435114
30300,-88.24078688700439,40.09640633663655,-11.587787,-16.824427,-36.503819
30400,-88.240780919357,40.0964113129029,-18.625954,-10.152672,-41.541985
30500,-88.24077521355665,40.096416358782704,-24.465649,12.015267,-25.007633
30600,-88.2407695077563,40.0964214046625,-19.564886,-15.137404,-4.351145
30700,-88.24076321404104,40.0964262230532,-13.061069,10.656488,0.374046
30800,-88.2407569203258,40.0964310414439,-19.961832,-21.305344,-37.320610
30900,-88.24075110689839,40.096436024051954,-15.923664,-4.022901,-25.595419
31000,-88.240745293471,40.09644100666,-23.053434,-15.755725,-15.625955
31100,-88.2407394800436,40.09644598926805,-20.450382,-19.694656,-22.587786
31200,-88.2407336666162,40.0964509718761,-21.404581,-13.404580,-26.969465
31300,-88.2407285281992,40.0964555532572,-27.267176,-4.160306,-19.557251
31400,-88.2407233897822,40.0964601346383,-21.946566,-9.114504,-15.450381
31500,-88.24071858264381,40.0964646750518,-45.175571,-37.732826,-16.389313
31600,-88.2407137755054,40.0964692154653,-28.404581,20.610687,21.190840
31700,-88.24070968261265,40.09647417189825,-36.351147,-11.152672,20.091602
31800,-88.2407055897199,40.0964791283312,-26.106871,-2.198473,23.305344
31900,-88.2407015985273,40.0964847520018,-20.221375,-6.221374,12.862596
32000,-88.2406976073347,40.0964903756724,-16.709923,-2.244275,17.137405
32100,-88.24069384106889,40.09649639896125,-0.519084,0.290076,31.564886
32200,-88.2406900748031,40.0965024222501,0.206107,-11.480916,15.610687
32300,-88.24068613610635,40.09650879389845,1.809160,7.137404,3.198473
32400,-88.2406821974096,40.0965151655468,-5.778626,-0.297710,-0.137405
32500,-88.24067876248215,40.0965209096345,-4.473282,-4.961832,16.564886
32600,-88.2406753275547,40.0965266537222,1.832061,-6.793893,21.099237
32700,-88.24067153684415,40.09653286106265,12.274809,35.000000,8.786260
32800,-88.2406677461336,40.0965390684031,17.969465,15.366412,45.145039
32900,-88.24066411314325,40.0965454245247,21.923664,2.541985,-2.984733
33000,-88.2406604801529,40.0965517806463,8.251908,0.954198,-16.923664
33100,-88.24065729236071,40.0965577682337,5.320611,-2.465649,4.030534
33200,-88.2406541045685,40.0965637558211,-11.687023,-28.938931,-4.526718
33300,-88.2406485771615,40.0965770016125,-14.045801,5.572519,14.328244
33400,-88.24064552840369,40.096583420108246,3.618321,-10.832061,35.427483
33500,-88.2406424796459,40.096589838604,10.366412,17.702290,10.641221
33600,-88.24063970323465,40.09659576298405,8.564885,-4.709924,10.809160
33700,-88.2406369268234,40.0966016873641,10.190840,-25.717558,10.534351
33800,-88.2406340470348,40.09660823504085,17.038168,-0.793893,2.427481
33900,-88.2406311672462,40.0966147827176,5.832061,6.763359,-5.229008
34000,-88.24062934173125,40.096622550792404,-0.725191,16.511450,-3.022901
34100,-88.2406275162163,40.0966303188672,-15.503817,-5.694656,-2.435115
34200,-88.24062777722625,40.09663707420095,0.473282,16.206106,17.267176
34300,-88.2406280382362,40.0966438295347,12.961832,5.893130,36.633587
34400,-88.2406298336931,40.0966554550905,20.786259,-14.877863,19.083969
34500,-88.24063162915,40.0966670806463,13.954199,0.725191,-3.381679
34600,-88.2406317079912,40.096669405030894,8.122137,-21.725191,-9.000000
34700,-88.2406317868324,40.0966717294155,1.885496,-8.916031,-5.763359
34800,-88.24063439317725,40.096673286306995,-13.152672,-2.312977,-4.114504
34900,-88.2406369995221,40.0966748431985,-3.648855,4.488550,25.610687
35000,-88.24063729968856,40.0966761469236,5.870229,10.351145,29.770992
35100,-88.240637599855,40.0966774506487,-1.282443,1.282443,27.595419
35200,-88.24064016071705,40.09668228137075,9.000000,-9.755725,19.099237
35300,-88.2406427215791,40.0966871120928,4.183206,1.290076,27.511450
35400,-88.2406473875085,40.0966930645153,4.969466,-8.213740,19.206106
35500,-88.2406520534379,40.0966990169378,6.404580,-9.610687,10.442748
35600,-88.2406583480513,40.0967049182021,-5.786260,-24.045801,9.679389
35700,-88.2406646426647,40.0967108194664,9.442748,-12.358779,29.526718
35800,-88.2406686657467,40.096713418794906,6.083970,12.106871,17.412214
35900,-88.2406726888287,40.0967160181234,9.938931,1.618321,30.870230
36000,-88.2406767119107,40.0967186174519,13.916031,-2.748092,37.419846
36100,-88.2406807349927,40.0967212167804,17.496183,7.251908,42.343510
36200,-88.2406879618365,40.0967261381917,24.778625,-11.297709,36.717556
36300,-88.24069157525841,40.09672859889735,10.740458,-13.671756,6.870229
36400,-88.2406951886803,40.096731059603,20.068703,-11.129771,20.465649
36500,-88.2406985839838,40.0967331278699,21.251909,-23.290077,17.480917
36600,-88.24070197928731,40.096735196136805,28.198473,4.717557,8.664123
36700,-88.2407053745908,40.0967372644037,31.374046,-10.114504,9.442748
36800,-88.2407087698943,40.0967393326706,22.000000,-4.106870,2.389313
36900,-88.24071216056942,40.09674132423565,10.244275,-1.229008,-17.335878
37000,-88.24071555124455,40.0967433158007,5.458015,1.053435,-9.862596
37100,-88.24071894191968,40.09674530736575,-6.641222,-6.091603,14.351145
37200,-88.2407223325948,40.0967472989308,14.305344,25.572519,43.076336
